sentimen,tweet,labels
negatif,he he he sok bijak nih antek orde baru pikir letnan jenderal pecat yang bilang biang kerok ekonomi indonesia adalah presiden belum jokowi ada jenderal susilo bambang yudhoyono bagaimana demokrat tidak alih dukung ke jokowi coba,0
netral,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi via,1
netral,gue kasih taubeberapa harga yang anugerah kepada jadi bukti bahwa adalah sosok pimpin yang aku integritas,1
netral,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi via warganet,1
positif,dalam jelas kiai mau jadi calon wakil presiden karena punya komitmen kait ekonomi umat dengan apa yang sebut bagai arus baru ekonomi indonesia bangun ekonomi dari bawah,2
positif,menteri saja prestasi apalagi pimpin bisa kata era lah mana jumlah menteri banyak raih harga,2
negatif,jokowi naik tax ratio drastis bisa guncang ekonomi,0
positif,lalu bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jika sangat jauh tingkat,2
negatif,di situ pak jokowi hanya bahas game online bagi main profesional bahkan sekarang sudah ada piala presiden mobile legend dan hadiah sangat besar jika kita mau saing di dunia online seperti game ekonomi kita juga akan naik,0
positif,april pilih jokowikma pada erti kan kalau pak jokowi ajar aji sejak belum jadi jabat murni dalam agama tanpa unsur citra,2
positif,from sandiuno repostmediaapp prabowosandi tidak ingin gagal fokus kita ingin bangun besarbesaran ini dampak langsung pada ekonomi dan sejahtera,2
negatif,alas prabowosandi tak terima gaji jika menang negara sedang susah,0
negatif,he he he pikir letnan jenderal pecat yang bilang biang kerok ekonomi presiden belum jokowi ada jenderal susilo bambang yudhoyono ada jenderal soeharto yang bintang nya sampai lima dungu,0
netral,jokowi tambah capai tumbuh itu perlu syukur karena indonesia tetap tumbuh meski kondisi ekonomi global sedang gejolak pictwittercomypflstkl,1
positif,janji tak ambil gaji jika menang pilih presiden prabowo bukti kita tulus,2
negatif,terus lah suara minta adil suara begitu arti id kerja yang benarjangan makan gaji buta jangan curang,0
negatif,jelas jokowi lah prabowo dan sandi pecicilan selalu pesimis tanpa jalan keluar jelas ekonomi makro dan mikro saja tak tau,0
positif,gue kasih taumenterinya saja prestasi apalagi pimpin bisa kata era lah mana jumlah menteri banyak raih harga,2
netral,berita baru prabowo saya tak ingin naik pajak persen dalam tahun telah ada di pictwittercomobiqqgn,1
positif,jokowi jelas bangun dan revitalisasi pasar rakyat ini jadi dasar utama dalam bangun ekonomi bas rakyat dengan demikian kuat ekonomi indonesia bisa lebih stabil pictwittercomxytviwprj,2
netral,gue kasih tauberbagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jika sangat jauh tingkat,1
positif,presiden bangun spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga yang mula ribuliter jadi liter,2
positif,satu menang bagai upaya telah laku untuk bangun indonesia bebas korupsi dari layan bas elektronik sistem adu masyarakat harga bagi masyarakat yang ungkap korupsi,2
negatif,les pakde salah satu aspek penting dari faktor ekonomi yang tumbuh adalah stabilitas politik dalam negeri yang tunjuk dengan ada pasti dan adil dalam tega hukum jadi pripun kabare pakde,0
negatif,demikian pak walau didik tentara tapi ayah orang ekonom legendaris di indonesia ya kali deh tidak erti makro dan mikro makro dan mikro ajar semester di fakultas ekonomi correct me if i am wrong tahu jae baru ajar ekonomi kacaw,0
netral,jangan terlalu bangga dengan jalan jika ekonomi jatuh terus nengara menteri agama buka lihat jala yang megah harus hasil bumi laut yang limpah ruah lebih dahulu baru idonesia maju jadi menang,1
netral,jokowi bangun spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga yang mula ribuliter jadi liter,1
netral,kata jas itu harga mahal dan pakai orang eropa dan amerika,1
netral,prabowo janji harga karet dan kelapa sawit bikin senyum tani,1
netral,orang ini sangat harga oleh raja arab saudi dia pimpin ku,1
negatif,contoh ekonomi cina bukan sujud seperti sekarang ini,0
positif,for your information gaesberbagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jika sangat jauh tingkat,2
netral,percaya hanya beri pada mereka yang alam orang milik wakil yang alam bidang ekonomi,1
negatif,berapa sih gaji presiden dan wakil presiden berapa sih tunjang kalau kalian kata tidak akan ambil peser gaji dan tunjang baru hebat itu baru jual kalau hanya gaji itu nama jual basi,0
positif,mungkin pak harap tulus karyawan untuk tidak tuntut gaji,2
netral,jamu jokowi raja salman saji nasi mandhi warta ekonomi,1
positif,dulu sekadar ada tumbuh ekonomi tanpa perata namun di zaman pak jokowi bukan hanya tumbuh ekonomi tapi juga perata bangun,2
negatif,kami moslem kami hormat dan harga umat agama lain kami cinta damai karena islam ajar untuk buat baik kepada semua manusia tanpa kecuali dan kami dukung bineka tunggal ika,0
positif,tidak akan ambil gaji rupiah pun jika pilih bagai presiden ri benar kata almarhum gus dur orang yang paling ikhlas untuk indonesia adalah prabowo pictwittercomvmyb,2
netral,jokowimaruf bicara alam prabowosandi janji tak ambil gaji,1
netral,pilih pimpin itu yang sudah jelas banyak capai nah ini dia capai ekonomi lama perintah jokowi,1
negatif,tidak perlu suuzan di samping umrah pak jokowi juga bahas kerja sama di bidang ekonomi dengan perintah arab saudi tidak usah nyinyir bro urus itu junjung yang lagi ziarah kubur moga saja tidak sembah kubur,0
positif,perintah jokowi juga sebut masa depan ekonomi indonesia di tangan anakanak muda kreatif,2
positif,hasil tidak hanya bidang infrastruktur jokowi juga hasil baik ekonomi indonesia,2
positif,jokowimaruf pimpin indonesia beberapa harga yang anugerah kepada jadi bukti bahwa adalah sosok pimpin yang aku integritas,2
negatif,mahal banget buat satu begini untuk hasil mw harga bisa lebih mahal dari satu power plant yang bisa produksi mw,0
netral,jokowi bahas ekonomi makro dan mikro ya makan hari sandiaga dari dulu itu sih fatal untuk ada et keluar ispot jenis revolusi sok futuristik padahal otak antik,1
negatif,prabowosandi sepakat ekonomi indonesia salah arah pictwittercomuyuisdrur,0
negatif,prabowosandi sepakat ekonomi indonesia salah arah via pictwittercomfqqvzcojs,0
netral,for your information gaesbeberapa harga yang anugerah kepada jadi bukti bahwa adalah sosok pimpin yang aku integritas,1
negatif,ketika wanita lain cerewat pada suami kamu hanya cerewet sama tukang sayur yang harga naik,0
negatif,kalau memang prabowo mau enggak prepare untuk persona agam kayak ajar aji gtgt yakin bakal menang tapi ya counter jokowi juga dengan rekrut sama ini bikin malah tidak tebak alur wkwk asli sudah padahal prabowo cuma perlu jadi islami doang asli biar menang,0
netral,penting sisi industri kreatif dan inovatif di era industri global buat jokowi gerak untuk ubah badan ekonomi kreatif bekraf jadi buah menteri,1
netral,buka porprov jawa tengah ganjar ingin kepala daerah contoh jokowi harga atlet,1
netral,awal mula mudzakir jadi guru aji jokowi pada ketika itu banyak anakanak dan orang dewasa minta ajar baca al alquran cara privat,1
netral,untuk indonesia maju dulu sekadar ada tumbuh ekonomi tanpa perata namun di zaman pak jokowi bukan hanya tumbuh ekonomi tapi juga perata bangun,1
positif,jokowi dukung esport di indonesia mobile legend pubg free fire dan lain lain prabowo lebih peduli sandang pangan harga harga turun gue sudah punya pilih sekarang,2
netral,april pilih jokowikma pilih pimpin itu yang sudah jelas banyak capai nah ini dia capai ekonomi lama perintah jokowi,1
negatif,namun adalah antara masyarakat banyak yang kerja nyata bayar pajak namun eksploitasi rampok hak harta dengan sedikit orang yang tetap atur raup untung serta ingin selalu eksploitasi rampok harta negara bangsa serta hindar pajak,0
netral,april coblos jokowimaruf pilih pimpin itu yang sudah jelas banyak capai nah ini dia capai ekonomi lama perintah jokowi,1
netral,april pilih jokowikma perintah jokowi juga sebut masa depan ekonomi indonesia di tangan anakanak muda kreatif,1
negatif,tidak pengaruh jokowi mau ke kutub utara juga rakyat tau barang dan harga harga murah obat gampang percuma mau mana saja kalau hutang negara malah tambah,0
netral,pilih jadi presidenwapres prabowosandi janji akan ikan gaji bagi kaum miskin,1
netral,demokrat minta prabowo harga kontribusi presiden belum,1
positif,jokowikma pimpin optimis beberapa harga yang anugerah kepada jadi bukti bahwa adalah sosok pimpin yang aku integritas,2
positif,madura prabowo harga mati,2
positif,prabowo harga mati titik,2
netral,saat jokowi masih jadi usaha mebel di solo mudzakir guru aji bapak pernah dapat oleholeh dari murid pulang dari jerman yaitu korek api zippo,1
netral,bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jika sangat jauh tingkat,1
netral,saya harga sikap anda bangtp langsung unfollow tanpa saya tau mslah belum ini rasa aneh juga banglagian yang bikin twit mention yang brsangkutan juga kan pasti punya tuju baik juga buat ingat apa tidak malah kontraproduktif kalau langsung diunfol,1
negatif,ya allah apa mungkin sosok orang jokowi berani seperti itu kalau calon presiden anda sih mungkin juga tolong jangan fitnah presiden seperti itu kalau jokowi beri jalan itu karena beliau orang baik pak dan presiden yang sangat harga ah saya curiga jangan anda mau bilang ini calon wakil presiden anda,0
positif,dulu sekadar ada tumbuh ekonomi tanpa perata namun asal kalian tau di zaman pak bukan hanya tumbuh ekonomi tapi juga perata bangun,2
negatif,gaji adalah tidak berapa yang penting cegah dan berantas korupsi mau tidak cegah dan berantas korupsi kolusi nepotisme ini yang jadi tanya masyarakat sekarang ini baru jokowi dan ahok yang sangat percaya masyarakat untuk mau dan berani berantas korupsi kolusi nepotisme,0
negatif,bukan tidak erti dan tidak sambung tentang tanya ml tetapi memang ml tidak sambung dengan tema debat jadi tidak penting untuk djawab dan dbahas rakyat itu yang utama no stabil harga pangan dan sedia dari tani sindir negara agraris kok sembrang impor,0
positif,mencoblosberamal kenapa demikian karena dan jika pilih insyaallah mereka akan infak gaji buat kaum dhuafa suara kita tidak siasia kawan mari kita dukung niat mereka,2
netral,pilih pimpin itu yang sudah jelas banyak capai nah ini dia capai ekonomi lama perintah pak,1
negatif,kalau harga masa sudah satu periode bapak jokowi tidak beri jabat sama kamu pikir itu,0
netral,berita baru naik rasio pajak prabowo kenang orde baru telah ada di pictwittercombufwhqec,1
positif,gue kasih taujokowi bangun spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga yang mula ribuliter jadi liter,2
negatif,benar juga sih kan kata bapak saja jelas pak jokowi dapat harga mana di luar negeri jangan sampai begitu pak kalau mau menang kasihan rakyat,0
netral,dan penting sisi industri kreatif dan inovatif di era industri global buat jokowi gerak untuk ubah badan ekonomi kreatif bekraf jadi buah menteri,1
netral,pak bangun spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga yang mula ribuliter jadi liter,1
positif,satu dukung jokowiamin menteri saja prestasi apalagi pimpin bisa kata era lah mana jumlah menteri banyak raih harga,2
negatif,komisi pemelihan umum di bawah perintah rezim yang kuasa sekarang kenapa yang salah prabowo memang yang gaji komisi pemelihan umum presiden prabowo ya,0
negatif,denny ini sementara hina diri sendiri hadap publik rasa hebat tapi sayang tolol lihat di indonesia lawyers club jadi ayam sayur apalagi mau sok nyentil tentang agama sudah pasti otak tidak akan sampai den kamu ajar aji dulu lah belum sok mau nyentil uah,0
positif,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi pictwittercomtmqkvjsmr,2
negatif,jokowi naik tax ratio drastis bisa guncang ekonomi,0
netral,saya pilih jokowi karena saya ingin indonesia maju saya tidak pilih prabowo karena saya tidak ikhlas uang pajak tiap tahun yang saya bayar untuk para koruptor diksh pensiun,1
netral,for your information gaesmenterinya saja prestasi apalagi pimpin bisa kata era lah mana jumlah menteri banyak raih harga,1
negatif,yang kritik infrastruktur karena biaya ke cina tapi contoh mandiri cina yang hasil pasti tidak sambung juga ya pak seperti koalisi dengan demokrat tapi kritik gagal ekonomi karena salah pimpin belum,0
positif,dengan coblos prabowo sandi anda telah amal lama tahun karena gaji prabowo sandi sumbang untuk dhuafa anak yatim dan lain lain pictwittercomaozydwbu,2
positif,presiden jokowi dan raja salman bin abdulaziz alsaud laku temu bilateral dua sepakat akan tingkat kerja sama di bidang ekonomi,2
positif,jokowi bangun spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga yang mula ribuliter jadi liter tanggal april terus dan gandeng ulama dan pasti,2
positif,for your information gaesjokowi bangun spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga yang mula ribuliter jadi liter,2
negatif,kalau yang fitnah ulama oposisi polisi republik indonesia diam walau mereka gaji uang negara coba pro langsung gaspol tolong pak telah pilih buang semua petinggi polisi republik indonesia era tito ke dalam ganti yang baik,0
netral,pada debat kemarin kata anda dua tidak akan ambil gaji bila kelak pilih jadi presiden wakil presiden atas dasar apa kira tidak ambil hak anda itu terima kasih,1
netral,perintah juga sebut masa depan ekonomi indonesia di tangan anakanak muda kreatif,1
negatif,tidak laku semu nyata mu mas masyarakat sudah cerdas kami sudah muak atas tidak adil tidak pasti hukum ketidakpastian ekonomi orang kecil anti kritik dan batas bebas dapat moga allah beri hidayah kepada kita semua kami ingin ubah,0
positif,yang penting itu prabowo dan sandi komitmen untuk turun harga listrik gue sudah begitu saja kok kalian dukung sih jae yang tidak tuju kami dukung prabowo sandi tuju saja kok dan moga pak prabowo adalah pimpin yang tepat janji kampanye tidak kayak sih jae,2
netral,turut jokowi warga di papua juga hak rasa harga bahan bakar minyak yang sama seperti di pulau jawa,1
netral,ingin skill anak bangsa harga di negara sendiri april tusuk prabowo sandi,1
netral,jalan tol trans sumatra bukan lanjut tapi pak jokowi yang mulai lebih dahulu ekonomi kita kembang dalam tahun di saat ekonomi negara lain tidak kembang bahkan minus rupiah sekarang stabil sejak zaman susilo bambang yudhoyono inflasi di tiap negara pasti ada apa lagi,1
netral,mau tanya impact buat negara kayak bagaimana kalau gamers ini fasilitas bisa bikin negara lain mandang gamers indonesia hebat bisa itu diadain selenggara game internasional di indonesia impact apa sponsor banyak kunjung wisatawan tingkat ekonomi sekitar bisa maju,1
netral,subsidi yang tepat sasar itu baik semua pasti tuju tapi kalau bicara daya beli masyarakat lemah sau dengan topik ekonomi yang kita bahas apa pada tidak tuju,1
netral,bisa psimis amat sih jadi orang dari cinta game kamu bisa jadi developer game serap tenage kerja iya dari game kamu bisa jual printilan yang dibutuhin misal diamond mobilegend apa itu bangun pelan dari bawah bukan langsung tanya bisa ngubah ekonomi makro atau tidak,1
netral,kalau dari lampung ke aceh makan waktu hari malam pakai jalan umum kalau pakai tol hari bensin irit barang cepat sampai transport bahan pangan jadi murah harga bahan pokok murah terus yang bikin harga bahan pokok naik mana,1
negatif,dolar sudah lama turun tong kalau tidak erti ekonomi jangan sok bicara ekonomi ajar ekonomi dulu sana,0
netral,telah lihat direktur utama pam dan jakpro isi dengan orang pak sandi menang tender sedia susu dari usaha pak prabowo belum lagi yang lain yang belum ungkap apa arti uang receh gaji pokok jadi jabat publik mending buat citra saja tidak usah ambil,1
negatif,kalau masalah bayar jalan biasa pun tetap bayar lo walau cara tidak langsung lewat pajak kalau gabayar dari mana duit awat,0
netral,memang bukti sandi jadi gubernur tidak di ambil gaji,1
netral,temu jokowi dengan menteri luar negeri thailand dorong libat asean untuk bantu myanmar dalam selesai konflik rohingya selain itu cara khusus jokowi sampai satu isu kait dengan harga karet dunia,1
netral,presiden jokowi dan raja salman sepakat tingkat kerja sama ekonomi news,1
netral,presiden jokowi gelar temu dengan raja salman bahas kerja sama ekonomi,1
positif,infrastruktur itu penting untuk ekonomi dan pemerataantapi ingat bangun itu semua tidak gratissemua bangun lalu hutang dan bayar lalu pajak ke rakyatjagalah amanah rakyat jika pilih kembali dan jangan kamu menghianati demokrasisehat selalu presiden,2
negatif,litah tk bertulngowo bilang mndiri di kaki sndiritpi ajar dari cinapjk di hapus yang gji elite dan exsekutif siapaklo cuma omng sembako murhlistrik murhjokowi juga bisa tetapi negara ambrukmurah tahun tahun negara nombok terus naik lagi harga,0
positif,ubah segalanyayg paling utama adil sosial bagi seluruh rakyat indonesiakhususnya harga sembako murah,2
positif,yusuf mansur nilai maruf amin bagai sosok yang ideal untuk damping jokowi maju dalam pilih presiden pilih presiden pasang ini harap nanti mampu dongkrak ekonomi syariat,2
negatif,gue tanding apa sampai kalah gubernur indonesia anies b wina ini jauh lompat pakar ekonomikelola uang tetapi harga pada naik ekonomi masyarakat tak tingkat terus aja cuma bisa suruh ikat pinggang yang kencang dan sabar maaf yang biasa di jalan tak kenal sensitif,0
positif,nyata tutup yang gemilang cukup satu kartu tidak akan ambil gaji dan kali ke tempat mungut suara tusuk prabowo sandi tambah lagi pak prabowo yang kata dana desa adalah atas inisiatif beliau saat jabat sebgai ketua hkti tanpa perlu politisasi,2
negatif,sah gundul itu jokowi dalam rangka kuat hubung ekonomi dengan arab kalau ada curang ya lapor dong ke badan awas pilih umum anggota badan awas pilih umum pilih dan di seleksi di dewan wakil rakyat yang di dewan wakil rakyat sendiri diri dari bagai partai masuk partai usung oposisi,0
netral,salam bangsa negara satu republik indonesia dan pancasila harga mati untuk sabang sampai maroke saya bukan orang politik tetapi tonton politikpendapat saya demokrasi pilih presiden l ngsung oleh rakyat sangat tepattetapi dari sis,1
positif,mau harga harga murah pilih prabowo sandi mau hrga listrik murah pilih prabowo sandi mau lowong kerja pilih prabowo sandi mau henti impor saat panen pilih prabowo sandi pokok yesss yessss,2
positif,lihat video ini tetes juga air mata kita doa moga menang agar nasib ekonomi para ojek online bisa lebih baik lagi aaminnnn,2
negatif,digital itu penting tetapi swasembada pangan harga pangan murah itu jauh lebih butuh masyarakat dasar tidak tau prioritas kayak begitu minta periode,0
netral,ya apa juga gaji kan udahhh kayaaa raya congggg paling ambil sedikit saja enggak apa apa kata kalau cuma sedikit hehe salam dua jari prabowo sandi,1
negatif,muslim kaffahnya masuk gaji karyawannya tidak bayar juga itu to ngemplang pajak panama papers jangan lupa indonesia bubar maju jalan jadi ingat lucinta luna suka batang yang homo siapa ingaaaat,0
negatif,daulat negara tentu oleh daulat ekonomi dan sejahtera kita tak daulat cara ekonomi karena salah kelola di rezim orde baru jokowi lagi benah dari dasar pondasi ekonomi analisanya kok begini,0
netral,bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah pak jika sangat jauh tingkat,1
netral,bagai capai telah hasil capai khusus tumbuh ekonomi di era perintah jika sangat jauh tingkat coblos juara,1
negatif,iya isi dompet gue kayak ekonomi indonesia kalau kata pak salah jalan makanya sekarang dompet sudah gue pasangin kompas belum pakai global positioning system masih kumpul modal dulu,0
positif,pak prabowo concern benah tata kelola negara tahan negara hingga harga diri bangsa di mata dunia bang sandi fokus garap kuat ekonomi sinergi perintah dan power rakyat para ulama fokus garap iman dan akidah juga akhlaq umat,2
negatif,paham tata negara paham akan atur paham akan bijak ekonomi paham kalau kursi menteri harus isi orang yang kompeten walau tidak tepat ketimbang prabowo belum apa sudah bagi jatah kursi menteri untuk partai politik dukung,0
negatif,yang serang ekonomi makro woooyyy kamu liatpengangkut sembakodulu belum ada toldia di jalan pikir jam sekarangtinggal bayarwaktu ganti gue laku,0
netral,gileee ratus juta mata tonton saksi buah aku yang cukup berani dan jujur bahwa bijak ekonomi itu bukan salah pak jokowi tetapi salah orang satu koalosinya makanya prabowo dan sandi peluk erat tanda mereka tidak akan sama lagi untuk bericara didpn umum,1
negatif,sudah gagal minta periode saat debat bukan fokus ekonomi malah bahas games mobile legend dan lain lain tidak faedah ya iya pun tanya harta kaya prabowo apa urus dengan negara dan tidak fokus soal bangsa harus lengser,0
netral,gelar temu bilateral presiden jokowi dan raja salman sepakat ke depan kerja sama ekonomi akan terus tingkat utama di bidang energi dan pariwisata pictwittercomrojlypeel,1
negatif,semua sudah ada njop nyajadi kalau eyel harga nya tinggi itu salah yang minta lah,0
negatif,kan kata pak sandi lulus amerika indeks prestasi kumulatif nya kata jadi khatam banget makro dan mikro ini tapi kok kalah sama sarjana hutan apakah p jokowi jurus ekonomi hutan,0
netral,pak prabowo nyata milik jiwa sportif bahwa salah bijak ekonomi indonesia jadi puluh tahun belum pak jokowi berkuasacuma sayang partai koalisi tidak suka bhk ada yang emosi dengan jujur pak prabowo ungkap fakta aneh,1
negatif,salah arah bangun ekonomi indonesia saat ini juga tak lepas dari andil belum saya tidak salah bapak ini salah besar salah besar presidenpresiden belum bapak kita,0
negatif,lalu harga tiket pesawat kapan turun paksaya sangat harap besar dalam aspek initrlbh dengan mahal nya harga tiket pswt terbang yang amat tinggimahal tarif biaya expdisi antar kota pun ikut lonjak naik,0
negatif,paling parah malaysia mbak bayang juta orang harus beetumpu di tempat mungut suara apakah kita bagai warga negara tidak boleh kritik dan tidak boleh marah kalau lihat para laksana swperti itu sedang mereka di gaji oleh uang negara,0
netral,ya daripada pikir yang kayak begitu mending pikir hal yang dasar dulu dongekonomi dlllha kalau tagih game online bikin malas segala nyadi suruh wirid ke masjid malah nongkrong di warnetbergayalah sesuai isi kantong,1
negatif,kata dia zaman jokowi ekonomi anjlok tapi punya gadget banyak itu belum lagi bayar wifi terus dia bilang anjlok dan serba mahal itu apa,0
